,Full_names,Stars,Num_Forks,Num_Commits,Topics,Size
215,ydataai/ydata-profiling,10448,1443,1275,"['pandas-profiling', 'pandas-dataframe', 'statistics', 'jupyter-notebook', 'exploration', 'data-science', 'python', 'pandas', 'machine-learning', 'deep-learning', 'exploratory-data-analysis', 'eda', 'data-quality', 'html-report', 'data-exploration', 'data-analysis', 'jupyter', 'big-data-analytics', 'data-profiling', 'hacktoberfest']",271205
216,tensorlayer/TensorLayer,7170,1607,3353,"['tensorlayer', 'deep-learning', 'tensorflow', 'neural-network', 'reinforcement-learning', 'artificial-intelligence', 'gan', 'a3c', 'tensorflow-tutorials', 'dqn', 'object-detection', 'chatbot', 'python', 'tensorflow-tutorial', 'imagenet', 'google']",104782
217,yutiansut/QUANTAXIS,7134,2719,7478,['quant'],136224
218,pylint-dev/pylint,4615,967,8546,"['static-analysis', 'linter', 'static-code-analysis', 'code-quality', 'pep8', 'closember', 'hacktoberfest']",40227
219,RadeonOpenCompute/ROCm,2851,225,839,[],77726
220,rhsimplex/image-match,2845,393,406,"['image-analysis', 'image-signatures', 'python', 'search']",1574
221,electricitymaps/electricitymaps-contrib,2799,769,4165,"['sustainability', 'data-visualization', 'climate-change', 'hacktoberfest']",172678
222,SickChill/sickchill,2300,616,13062,"['episodes', 'nzb', 'season', 'torrents', 'tv', 'shows', 'sickbeard', 'tvdb', 'xem', 'plex', 'kodi', 'linux', 'windows', 'sickchill', 'dognzb', 'series', 'rarbg', 'torrent', 'media', 'videos']",271637
223,PowerDNS-Admin/PowerDNS-Admin,1966,564,1519,"['powerdns', 'powerdns-web-gui', 'powerdns-admin', 'pdns']",35741
224,BedirT/ACM-ICPC-Preparation,1814,550,298,"['algorithm', 'curriculum', 'programming-language', 'acm-icpc', 'competitive-programming']",2263
225,qwj/python-proxy,1550,258,226,"['pproxy', 'python', 'proxy', 'tunnel', 'shadowsocks', 'shadowsocksr', 'pf', 'nat', 'asyncio', 'socks4', 'socks5', 'ssh', 'quic', 'http2', 'http3']",433
226,moderngl/moderngl,1527,165,2910,"['opengl', 'python', 'modern-opengl-functions', 'moderngl', 'pyopengl', 'graphical-applications', 'pypi', 'rtdocs']",8919
227,me-shaon/bangla-programming-resources,1369,1009,223,"['programming', 'bangla', 'programming-resource', 'programming-articles']",318
228,SathyaBhat/spotify-dl,1287,195,201,"['spotify-dl', 'playlist', 'downloads-songs', 'spotify', 'mp3']",1329
229,graphql-python/gql,1251,166,264,"['graphql', 'gql', 'graphql-client', 'async-transport', 'websockets-transport']",607
230,hslatman/awesome-industrial-control-system-security,1248,364,161,[],134
231,maguowei/starred,1246,80,153,"['starred', 'star', 'awesome', 'awesome-list', 'awesome-stars']",1449
232,sleventyeleven/linuxprivchecker,1230,382,37,"['oscp', 'oscp-tools', 'htb', 'linux-privilege-escalation', 'linux-security', 'pentesting', 'security', 'ctf-tools', 'pentest-tools', 'hackthebox']",46
233,quodlibet/mutagen,1227,136,1763,"['tagging', 'python', 'music', 'id3v1', 'id3v2', 'apev2', 'opus', 'flac', 'ogg', 'mp3', 'mp4', 'id3']",7584
