,Full_names,Stars,Num_Forks,Num_Commits,Topics,Size
1350,SymphonyPy/Valified_Code_Classify,103,56,33,33,144
1351,EthanRosenthal/torchmf,123,34,24,24,48
1352,AV1080p/PoCorExp,102,37,32,32,277
1353,kanchen-usc/AMC_ATT,103,23,18,18,22380
1354,gitgik/flask-rest-api,107,51,104,104,213
1355,ucupumar/yPanel,110,20,74,74,1024
1356,afourmy/pyGISS,120,36,35,35,16778
1357,WeidiXie/cell_counting_v2,113,43,12,12,11
1358,gaetangate/text-summarizer,111,26,33,33,52
1359,vertexcover-io/falcon-auth,101,31,40,40,66
1360,ssky87/iflytek_sdk_python,118,45,3,3,1383
1361,jsikyoon/pathnet,100,23,103,103,1732
1362,yg33717/DSH_tensorflow,101,40,7,7,6
1363,wzyonggege/python-wechat-itchat,100,79,7,7,524
1364,titu1994/BatchRenormalization,99,28,17,17,40417
1365,haiphanNJIT/PrivateDeepLearning,119,48,73,73,30927
1366,GunhoChoi/FusionNet-Pytorch,103,32,36,36,8234
1367,charleyzhu/HomeAssistant_Components,100,25,51,51,303
1368,princeton-vl/pose-ae-demo,96,31,6,6,11
1369,coreruleset/ftw,112,34,432,432,435
1370,aayars/py-noisemaker,101,8,1221,1221,8673
1371,andresriancho/jwt-fuzzer,104,21,24,24,33
1372,redhat-cop/openshift-management,112,85,88,88,146
1373,asingh33/SupervisedChromeTrex,104,23,20,20,2179
1374,inuyasha2012/answer-sheet-scan,118,44,19,19,3305
1375,msyim/VGG16,147,58,11,11,6
1376,vlomonaco/core50,107,24,116,116,66622
1377,PacktPublishing/Python-Data-Structures-and-Algorithms,153,91,16,16,34
1378,nlitsme/pyidbutil,123,23,48,48,124
1379,stevekm/IGV-snapshot-automator,123,47,62,62,27633
1380,Halium/docs,108,65,245,245,423
1381,delta-onera/segnet_pytorch,126,48,6,6,19
1382,PkuRainBow/HDC.caffe,98,34,52,52,93658
